name,team,goals,shots,otrate,on_target,crate,in_area,out_area,in_area_prop,team_next,goals_next,shots_next,otrate_next,on_target_next,crate_next,in_area_next,out_area_next,in_area_prop_next
Messi,Barcelona,46,163,62,101.06,0.282208589,101,62,0.619631902,Barcelona,28,160,67,107.2,0.175,99,61,0.61875
Ronaldo ,Real Madrid,34,235,58,136.3,0.144680851,106,126,0.45106383,Real Madrid,31,216,54,116.64,0.143518519,126,90,0.583333333
Ibrahimovic,PSG,30,157,53,83.21,0.191082803,97,60,0.617834395,PSG,26,161,58,93.38,0.161490683,91,70,0.565217391
Cavani,Napoli,29,156,52,81.12,0.185897436,112,44,0.717948718,PSG,16,96,45,43.2,0.166666667,75,21,0.78125
Falcao,Atletico,28,123,54,66.42,0.227642276,86,37,0.699186992,Monaco,9,50,60,30,0.18,31,19,0.62
van Persie,Manchester United,26,141,55,77.55,0.184397163,101,40,0.716312057,Manchester United,12,62,46,28.52,0.193548387,55,7,0.887096774
Negredo,Sevilla,25,150,42,63,0.166666667,116,34,0.773333333,Manchester City,9,66,48,31.68,0.136363636,43,23,0.651515152
Kiessling,Leverkusen,25,121,60,72.6,0.20661157,109,12,0.900826446,Leverkusen,15,83,54,44.82,0.180722892,69,14,0.831325301
Lewandowski,Borussia Dortmund,24,98,65,63.7,0.244897959,79,19,0.806122449,Borussia Dortmund,20,117,67,78.39,0.170940171,92,25,0.786324786
Soldado,Valencia,24,100,51,51,0.24,90,10,0.9,Tottenham,6,58,32,18.56,0.103448276,52,6,0.896551724
Di Natale,Udinese,23,132,53,69.96,0.174242424,86,46,0.651515152,Udinese,17,119,57,67.83,0.142857143,81,38,0.680672269
Suarez,Liverpool,23,187,50,93.5,0.122994652,119,68,0.636363636,Liverpool,31,181,53,95.93,0.171270718,104,77,0.574585635
Bale,Spurs,21,165,55,90.75,0.127272727,67,98,0.406060606,Real Madrid,15,88,43,37.84,0.170454545,47,41,0.534090909
Benteke,Aston Villa,19,104,59,61.36,0.182692308,81,23,0.778846154,Aston Villa,10,67,53,35.51,0.149253731,55,12,0.820895522
Cvitanich,Nice,19,58,61,35.38,0.327586207,39,19,0.672413793,Nice,8,47,52,24.44,0.170212766,37,10,0.787234043
Ruben Castro,Real Betis,18,79,58,45.82,0.227848101,62,17,0.784810127,Real Betis,10,74,52,38.48,0.135135135,50,24,0.675675676
Michu,Swansea,18,110,39,42.9,0.163636364,82,28,0.745454545,Swansea,2,42,42,17.64,0.047619048,27,15,0.642857143
Lukaku,WBA,17,97,59,57.23,0.175257732,79,18,0.81443299,Everton,15,101,62,62.62,0.148514851,68,33,0.673267327
Gomis,Lyon,16,103,48,49.44,0.155339806,85,18,0.825242718,Lyon,14,86,54,46.44,0.162790698,62,24,0.720930233
Higuain,Real Madrid,16,56,60,33.6,0.285714286,47,9,0.839285714,Napoli,17,90,55,49.5,0.188888889,68,22,0.755555556
Osvaldo,Roma,16,91,43,39.13,0.175824176,71,20,0.78021978,Southampton,4,42,40,16.8,0.095238095,33,9,0.785714286
Lambert,Southampton,15,94,53,49.82,0.159574468,58,36,0.617021277,Southampton,13,103,51,52.53,0.126213592,59,44,0.572815534
Aliadiere,Lorient,15,98,55,53.9,0.153061224,79,19,0.806122449,Lorient,8,61,61,37.21,0.131147541,47,14,0.770491803
Ben Yedder,Toulouse,15,76,57,43.32,0.197368421,58,18,0.763157895,Toulouse,16,86,51,43.86,0.186046512,65,21,0.755813953
Modeste,Bastia,15,115,48,55.2,0.130434783,82,33,0.713043478,Hoffenheim,12,67,45,30.15,0.179104478,52,15,0.776119403
Ibisevic,Stuttgart,15,65,49,31.85,0.230769231,52,13,0.8,Monaco,10,58,41,23.78,0.172413793,48,10,0.827586207
Berbatov,Fulham,15,81,54,43.74,0.185185185,63,18,0.777777778,Fulham,10,57,55,31.35,0.175438596,53,4,0.929824561
Denis,Atalanta,15,93,49,45.57,0.161290323,75,18,0.806451613,Atalanta,13,90,52,46.8,0.144444444,68,22,0.755555556
Mandzukic,Bayern Munich,15,67,62,41.54,0.223880597,62,5,0.925373134,Bayern Munich,18,76,69,52.44,0.236842105,74,2,0.973684211
Klose,Lazio,15,48,53,25.44,0.3125,42,6,0.875,Lazio,7,43,45,19.35,0.162790698,42,1,0.976744186
Dzeko,Manchester City,14,94,53,49.82,0.14893617,71,23,0.755319149,Manchester City,16,103,46,47.38,0.155339806,84,19,0.815533981
Vela,Real Sociedad,14,102,57,58.14,0.137254902,61,41,0.598039216,Real Sociedad,16,86,54,46.44,0.186046512,49,37,0.569767442
Kalou,Evian,14,71,52,36.92,0.197183099,55,16,0.774647887,Lille,16,94,59,55.46,0.170212766,68,26,0.723404255
